method,gene,truth_cosine,predicted_cosine,predicted_cosine_range_matched,truth_label,predicted_label
GRAVITY,NCAPG,-0.68162806,-0.3778933095874645,-0.502778951917475,Destabilizing,Destabilizing
GRAVITY,MIR100HG,0.129961412,-0.7154458672980746,-0.924450454,Neutral,Destabilizing
GRAVITY,G0S2,0.720865792,0.5714880701839605,0.6831906498907405,Cooperative,Cooperative
GRAVITY,MIS18A,-0.665150243,0.310516126867614,0.3571838434664132,Destabilizing,Neutral
GRAVITY,CEBPG,-0.092805786,0.2508564741363335,0.282656855575869,Neutral,Neutral
GRAVITY,ODF2,-0.612069372,-0.1338572999288655,-0.197928556314229,Destabilizing,Neutral
GRAVITY,CENPO,-0.258726666,-0.534768075895825,-0.6987473036216938,Neutral,Destabilizing
GRAVITY,NUCKS1,-0.512985867,-0.675518204354489,-0.8745727172639607,Destabilizing,Destabilizing
GRAVITY,ANKRD36C,-0.408704016,-0.3093764002385128,-0.4171874568354143,Neutral,Neutral
GRAVITY,SYNPO,0.086468218,0.5922073215398121,0.709073190673434,Neutral,Cooperative
GRAVITY,SEPHS1,0.361534747,0.2958499043140737,0.3388627614518911,Neutral,Neutral
GRAVITY,H2AFZ,-0.924450454,-0.0849303127264731,-0.136808841132889,Destabilizing,Neutral
GRAVITY,KATNAL1,-0.490629153,-0.2085889849678688,-0.2912835647824826,Neutral,Neutral
GRAVITY,CPEB2,0.002803627,-0.2027544397011925,-0.2839950361952482,Neutral,Neutral
GRAVITY,FBXL20,-0.45569417,-0.2810589138694854,-0.3818131818086904,Neutral,Neutral
GRAVITY,VRK1,-0.419361152,-0.3497732847083133,-0.4676513462793769,Neutral,Neutral
GRAVITY,ENAH,0.431492289,-0.4892031954288896,-0.6418275406105205,Neutral,Destabilizing
GRAVITY,PTX3,0.761123426,0.5049075836126129,0.6000181390013553,Cooperative,Cooperative
GRAVITY,PPP2R5C,0.721099559,-0.4245983958564676,-0.5611230628776078,Cooperative,Destabilizing
GRAVITY,CDCA2,-0.686195709,-0.6157637322234981,-0.7999272807413765,Destabilizing,Destabilizing
GRAVITY,TSPYL4,-0.165205462,0.5721504055112092,0.6840180408434784,Neutral,Cooperative
GRAVITY,NUP85,-0.130682921,-0.2879433496464643,-0.3904132362557913,Neutral,Neutral
GRAVITY,GEN1,-0.765315761,-0.4775982987992751,-0.6273306746216772,Destabilizing,Destabilizing
GRAVITY,FANCI,-0.5890366,-0.5468703767486168,-0.7138655282142221,Destabilizing,Destabilizing
GRAVITY,GNL3,-0.655318141,-0.2181955336242029,-0.3032840894688282,Destabilizing,Neutral
GRAVITY,FANCG,-0.042142238,0.5143680435532342,0.611836169297465,Neutral,Cooperative
GRAVITY,ADD2,-0.356639848,-0.465047142247211,-0.6116517383633446,Neutral,Destabilizing
GRAVITY,BRIP1,-0.534588512,-0.449597630111018,-0.5923521690367339,Destabilizing,Destabilizing
GRAVITY,SQSTM1,0.667178488,-0.3440213326149335,-0.4604659932914682,Cooperative,Neutral
GRAVITY,KIF20A,-0.111077264,0.2735204493031509,0.3109687502229423,Neutral,Neutral
GRAVITY,TNS2,-0.060927866,0.5448066492427318,0.6498601519016556,Neutral,Cooperative
GRAVITY,RGS3,-0.128234277,-0.0464471929168055,-0.0887356313044031,Neutral,Neutral
GRAVITY,SLC35F3,0.019807002,-0.278936849843816,-0.3791622941031188,Neutral,Neutral
GRAVITY,ZHX2,-0.076250405,-0.2982406965908268,-0.4032767078969003,Neutral,Neutral
GRAVITY,CENPP,-0.449175347,-0.2851384753787587,-0.3869093802825535,Neutral,Neutral
GRAVITY,PDE4B,-0.142517745,-0.315284221740275,-0.4245675222793836,Neutral,Neutral
GRAVITY,KIF23,-0.496856437,-0.3237661531554168,-0.4351631722861303,Neutral,Neutral
GRAVITY,RHEB,-0.660759854,-0.5846101393463307,-0.7610101343482958,Destabilizing,Destabilizing
GRAVITY,CENPW,-0.065649067,0.0778900699913216,0.0665867895087983,Neutral,Neutral
GRAVITY,NEDD1,-0.737209919,-0.382402027007816,-0.5084112530322994,Destabilizing,Destabilizing
GRAVITY,IRS1,0.61275691,-0.2821231986005374,-0.383142688965235,Cooperative,Neutral
GRAVITY,NEMP1,-0.466625908,-0.2953663004188581,-0.3996860049864118,Neutral,Neutral
GRAVITY,BTG3,-0.318635995,-0.2315744548864231,-0.3199970714801237,Neutral,Neutral
GRAVITY,ARHGAP11A,-0.581656822,-0.2669775761070997,-0.3642227393428773,Destabilizing,Neutral
GRAVITY,CAMKK2,0.524532356,-0.2402483197743177,-0.3308324852626347,Cooperative,Neutral
GRAVITY,TTK,-0.856665692,-0.6154536071843297,-0.7995398717642783,Destabilizing,Destabilizing
GRAVITY,HERPUD1,0.130659543,0.5733362500690593,0.6854994008406783,Neutral,Cooperative
GRAVITY,GRINA,0.359422907,0.4467659358580562,0.5273874467367288,Neutral,Cooperative
GRAVITY,LIF,0.465595777,0.4838543109081457,0.5737183379118413,Neutral,Cooperative
GRAVITY,ZNF512B,0.204238892,0.4391670840642049,0.5178949420087307,Neutral,Cooperative
GRAVITY,SYNE2,-0.531402444,-0.634385875769223,-0.8231901091855747,Destabilizing,Destabilizing
GRAVITY,ZNF462,-0.093667752,-0.4981980912270761,-0.6530639870117022,Neutral,Destabilizing
GRAVITY,DENND5A,0.718964773,-0.1755356921982595,-0.2499933085170166,Cooperative,Neutral
GRAVITY,CCDC85C,0.268461982,-0.2852777645596411,-0.3870833806768176,Neutral,Neutral
GRAVITY,CCDC14,-0.425627931,-0.3633402736488194,-0.4845992629062885,Neutral,Neutral
CellDancer,CDK1,-0.846030818,0.987789471633282,0.7510305004250786,Destabilizing,Cooperative
CellDancer,RTKN2,-0.724452429,0.6546554930161173,0.4701343435141878,Destabilizing,Neutral
CellDancer,MELK,-0.422408521,-0.0778715447897011,-0.1475271469380837,Neutral,Neutral
CellDancer,AURKB,-0.797834383,-0.9650215553976406,-0.8955656076728311,Destabilizing,Destabilizing
CellDancer,STIL,-0.865906607,0.9782526852795091,0.7429891512742806,Destabilizing,Cooperative
CellDancer,KIF15,-0.743049419,0.2061309439807898,0.0919416937364858,Destabilizing,Neutral
CellDancer,HIST1H4C,-0.662274839,-0.889456123018771,-0.8318493826313529,Destabilizing,Destabilizing
CellDancer,ILF2,0.51317901,0.8335640894163171,0.6209887756431005,Cooperative,Cooperative
CellDancer,KLF6,-0.168814097,-0.995693409897877,-0.921427893141908,Neutral,Destabilizing
CellDancer,H1FX,-0.662030653,-0.9842257521362576,-0.911758447210936,Destabilizing,Destabilizing
CellDancer,STMN1,-0.815884385,0.9867526397117438,0.7501562512616291,Destabilizing,Cooperative
CellDancer,CKAP2L,-0.680665514,-0.6590263429702434,-0.6375526617680727,Destabilizing,Destabilizing
CellDancer,KIF18B,-0.781921456,0.4526830886834589,0.2998326756549214,Destabilizing,Neutral
CellDancer,USP13,0.24493054,0.9268143379645456,0.6996167095359811,Neutral,Cooperative
CellDancer,CEP128,-0.612331281,0.2232386829674555,0.106366815288891,Destabilizing,Neutral
CellDancer,RAD51AP1,-0.411428936,0.135385484536991,0.0322896349487651,Neutral,Neutral
CellDancer,PPRC1,0.029641162,-0.9992780717008086,-0.924450454,Neutral,Destabilizing
CellDancer,ZMYM2,-0.442384361,0.4545087923508862,0.3013720957584103,Neutral,Neutral
CellDancer,SPDL1,-0.404750352,0.9783830239332144,0.7430990518826628,Neutral,Cooperative
CellDancer,TOP2A,-0.922681399,-0.9869582708612686,-0.9140624872002782,Destabilizing,Destabilizing
CellDancer,CALM3,0.179864551,0.9126326203646684,0.6876587880152261,Neutral,Cooperative
CellDancer,PLK4,-0.63753528,0.628507464288772,0.4480865151575746,Destabilizing,Neutral
CellDancer,CENPK,0.119166048,0.464327950552416,0.3096515388051954,Neutral,Neutral
CellDancer,MGME1,-0.541825818,0.8956555667349548,0.6733438594088679,Destabilizing,Cooperative
CellDancer,UBE2T,-0.850790645,-0.9717471932180382,-0.9012366167496184,Destabilizing,Destabilizing
CellDancer,NCAPH,-0.748687519,0.6233977477993128,0.4437780392382127,Destabilizing,Neutral
CellDancer,CEP152,-0.435256254,0.985210833784706,0.7488562116757391,Neutral,Cooperative
CellDancer,ANKRD36,-0.178980961,-0.117733581501282,-0.1811385274565253,Neutral,Neutral
CellDancer,RNF5,-0.491777153,0.7510833576955402,0.5514416203041685,Neutral,Cooperative
CellDancer,LSM5,-0.717420678,0.1940291018288583,0.0817375081228461,Destabilizing,Neutral
CellDancer,MXD4,0.030629541,-0.0793639823889702,-0.1487855595077177,Neutral,Neutral
CellDancer,CDCA4,-0.319298531,-0.9944506536181,-0.9203800100517012,Neutral,Destabilizing
CellDancer,CEP85,-0.768122415,0.9973347854060232,0.7590790398337615,Destabilizing,Cooperative
CellDancer,PTTG1,-0.809562718,0.9857081499948004,0.7492755451005819,Destabilizing,Cooperative
CellDancer,UBE2C,-0.827161403,0.9997593628900258,0.7611234260000002,Destabilizing,Cooperative
CellDancer,CDKN3,-0.019469061,-0.7284042783975393,-0.696051634214035,Neutral,Destabilizing
CellDancer,ESPL1,-0.570529807,-0.9949926472221704,-0.920837015131416,Destabilizing,Destabilizing
CellDancer,SOAT1,-0.57218689,-0.993290882025323,-0.9194020990482732,Destabilizing,Destabilizing
CellDancer,CNIH4,-0.206857747,-0.9062158978752104,-0.8459811033504685,Neutral,Destabilizing
CellDancer,HJURP,-0.306191743,-0.997906882098079,-0.923294276862496,Neutral,Destabilizing
CellDancer,LRRC41,0.462816369,-0.8245733420848675,-0.7771406918827304,Neutral,Destabilizing
CellDancer,PPIH,-0.537746172,-0.9565511850714484,-0.8884234527893341,Destabilizing,Destabilizing
CellDancer,SKA2,-0.324132671,0.995749585770383,0.7577424109872049,Neutral,Cooperative
CellDancer,SUN2,-0.301364946,-0.9809597363862822,-0.9090045663958156,Neutral,Destabilizing
CellDancer,ASF1B,-0.603378727,-0.9860005806238245,-0.9132549697314032,Destabilizing,Destabilizing
CellDancer,NCAPG,-0.68162806,-0.9919296406299812,-0.9182543101671548,Destabilizing,Destabilizing
CellDancer,MIR100HG,0.129961412,-0.979810882629444,-0.9080358612325414,Neutral,Destabilizing
CellDancer,G0S2,0.720865792,-0.9907753088406842,-0.9172809859666046,Cooperative,Destabilizing
CellDancer,MIS18A,-0.665150243,-0.953437469189759,-0.885797990119601,Destabilizing,Destabilizing
CellDancer,CEBPG,-0.092805786,0.957683179326295,0.7256450928993365,Neutral,Cooperative
CellDancer,ODF2,-0.612069372,0.9704510126267047,0.7364108374236604,Destabilizing,Cooperative
CellDancer,CENPO,-0.258726666,0.9793859681643556,0.7439447271911166,Neutral,Cooperative
CellDancer,NUCKS1,-0.512985867,-0.9696131437335748,-0.8994372016874511,Destabilizing,Destabilizing
CellDancer,ANKRD36C,-0.408704016,0.2471599543393696,0.1265370579782898,Neutral,Neutral
CellDancer,SYNPO,0.086468218,0.945312739840932,0.7152144279603796,Neutral,Cooperative
CellDancer,SEPHS1,0.361534747,-0.9205745631614686,-0.8580882258782332,Neutral,Destabilizing
CellDancer,H2AFZ,-0.924450454,-0.785595074551722,-0.7442744991318327,Destabilizing,Destabilizing
CellDancer,KATNAL1,-0.490629153,-0.981020846254522,-0.9090560937939188,Neutral,Destabilizing
CellDancer,CPEB2,0.002803627,0.0142502902173957,-0.0698506831667014,Neutral,Neutral
CellDancer,FBXL20,-0.45569417,-0.5390310564623397,-0.5363735056597541,Neutral,Destabilizing
CellDancer,VRK1,-0.419361152,0.6991020924098512,0.5076113940668887,Neutral,Cooperative
CellDancer,ENAH,0.431492289,-0.7221304467780997,-0.690761584852148,Neutral,Destabilizing
CellDancer,PTX3,0.761123426,-0.8382253123800606,-0.7886519343146778,Cooperative,Destabilizing
CellDancer,PPP2R5C,0.721099559,0.9459055967733307,0.7157143206299899,Cooperative,Cooperative
CellDancer,CDCA2,-0.686195709,-0.825490887861789,-0.7779143598333758,Destabilizing,Destabilizing
CellDancer,TSPYL4,-0.165205462,-0.8458728668989774,-0.7951002968715304,Neutral,Destabilizing
CellDancer,NUP85,-0.130682921,0.7440018133846676,0.5454705134534794,Neutral,Cooperative
CellDancer,GEN1,-0.765315761,0.6199310523709197,0.4408549467723575,Destabilizing,Neutral
CellDancer,FANCI,-0.5890366,0.3046636457836624,0.1750237539374972,Destabilizing,Neutral
CellDancer,GNL3,-0.655318141,-0.8831305795979647,-0.8265157302532526,Destabilizing,Destabilizing
CellDancer,FANCG,-0.042142238,-0.7125593479811169,-0.6826913036978606,Neutral,Destabilizing
CellDancer,ADD2,-0.356639848,-0.94426750601035,-0.8780659436114588,Neutral,Destabilizing
CellDancer,BRIP1,-0.534588512,0.5029328519795915,0.3422029119609164,Destabilizing,Neutral
CellDancer,SQSTM1,0.667178488,-0.9947605973922156,-0.9206413523962104,Cooperative,Destabilizing
CellDancer,KIF20A,-0.111077264,0.9570712124024574,0.7251290868234144,Neutral,Cooperative
CellDancer,TNS2,-0.060927866,-0.9752804905302466,-0.9042158674413152,Neutral,Destabilizing
CellDancer,RGS3,-0.128234277,0.961530351203288,0.7288890003497528,Neutral,Cooperative
CellDancer,SLC35F3,0.019807002,-0.985132644313649,-0.9125231321236524,Neutral,Destabilizing
CellDancer,ZHX2,-0.076250405,-0.952194981643686,-0.8847503336237061,Neutral,Destabilizing
CellDancer,CENPP,-0.449175347,-0.9889802583453026,-0.9157674123956746,Neutral,Destabilizing
CellDancer,PDE4B,-0.142517745,-0.9571461117615772,-0.8889250906636648,Neutral,Destabilizing
CellDancer,KIF23,-0.496856437,-0.9484774498053988,-0.8816157377145668,Neutral,Destabilizing
CellDancer,RHEB,-0.660759854,-0.9969288110933135,-0.9224695744782933,Destabilizing,Destabilizing
CellDancer,CENPW,-0.065649067,-0.4466321681350848,-0.4584634325363179,Neutral,Neutral
CellDancer,NEDD1,-0.737209919,-0.9872568477261466,-0.914314245049282,Destabilizing,Destabilizing
CellDancer,IRS1,0.61275691,-0.8908428146999654,-0.8330186310090918,Cooperative,Destabilizing
CellDancer,NEMP1,-0.466625908,-0.9903834765136392,-0.9169505957876224,Neutral,Destabilizing
CellDancer,BTG3,-0.318635995,-0.7633689310077482,-0.7255335759442083,Neutral,Destabilizing
CellDancer,ARHGAP11A,-0.581656822,-0.9991949552472555,-0.9243803708086186,Destabilizing,Destabilizing
CellDancer,CAMKK2,0.524532356,-0.9793779007087374,-0.90767077401435,Cooperative,Destabilizing
CellDancer,TTK,-0.856665692,-0.9901817606296252,-0.9167805104158372,Destabilizing,Destabilizing
CellDancer,HERPUD1,0.130659543,-0.9842091460817116,-0.9117444451060688,Neutral,Destabilizing
CellDancer,GRINA,0.359422907,0.9802611332538944,0.7446826600532472,Neutral,Cooperative
CellDancer,LIF,0.465595777,-0.9820586621034456,-0.90993117259781,Neutral,Destabilizing
CellDancer,ZNF512B,0.204238892,-0.84188560249153,-0.791738264414533,Neutral,Destabilizing
CellDancer,SYNE2,-0.531402444,0.698761930802875,0.5073245722646669,Destabilizing,Cooperative
CellDancer,ZNF462,-0.093667752,-0.6986456162550579,-0.670959345924107,Neutral,Destabilizing
CellDancer,DENND5A,0.718964773,-0.835480054799559,-0.7863371530146905,Cooperative,Destabilizing
CellDancer,CCDC85C,0.268461982,-0.6944386819168947,-0.6674120893732389,Neutral,Destabilizing
CellDancer,CCDC14,-0.425627931,-0.6722240136416181,-0.648680842049031,Neutral,Destabilizing
